INFO 2023-04-18 11:53:54,996 autoreload Watching for file changes with StatReloader
INFO 2023-04-18 11:54:04,957 autoreload Watching for file changes with StatReloader
INFO 2023-04-18 11:55:58,881 autoreload Watching for file changes with StatReloader
INFO 2023-04-18 20:16:53,967 autoreload Watching for file changes with StatReloader
INFO 2023-04-24 15:01:19,111 autoreload Watching for file changes with StatReloader
INFO 2023-04-24 15:02:06,558 autoreload Watching for file changes with StatReloader
INFO 2023-04-24 15:02:54,005 autoreload C:\Users\user\Desktop\Hospital-Management\hospital_management\hospital_management\urls.py changed, reloading.
INFO 2023-04-24 15:02:55,599 autoreload Watching for file changes with StatReloader
INFO 2023-04-24 15:03:42,279 autoreload C:\Users\user\Desktop\Hospital-Management\hospital_management\hospital_management\urls.py changed, reloading.
INFO 2023-04-24 15:03:43,811 autoreload Watching for file changes with StatReloader
INFO 2023-04-24 15:03:59,755 autoreload Watching for file changes with StatReloader
INFO 2023-04-24 15:04:29,992 basehttp "GET / HTTP/1.1" 200 15835
INFO 2023-04-24 15:04:30,338 basehttp "GET /static/css/style_index.css HTTP/1.1" 304 0
INFO 2023-04-24 15:04:30,344 basehttp "GET /static/css/style_base.css HTTP/1.1" 304 0
INFO 2023-04-24 15:04:51,222 basehttp "GET /admin_click HTTP/1.1" 200 7711
INFO 2023-04-24 15:04:55,044 basehttp "GET /admin_register HTTP/1.1" 200 10515
INFO 2023-04-24 15:04:55,104 basehttp "GET /static/css/style_register.css HTTP/1.1" 304 0
INFO 2023-04-24 15:05:00,673 basehttp "GET /admin_login HTTP/1.1" 200 8930
INFO 2023-04-24 15:05:00,803 basehttp "GET /static/images/adminLogin.jpg HTTP/1.1" 304 0
INFO 2023-04-24 15:05:00,821 basehttp "GET /static/css/style_login.css HTTP/1.1" 304 0
INFO 2023-04-24 15:05:04,632 basehttp "POST /admin_login HTTP/1.1" 200 8960
INFO 2023-04-24 15:05:07,471 basehttp "GET /admin_login HTTP/1.1" 200 8930
INFO 2023-04-24 15:05:17,541 basehttp "GET /patient_click HTTP/1.1" 200 7716
INFO 2023-04-24 15:05:23,494 basehttp "GET /patient_login HTTP/1.1" 200 8955
INFO 2023-04-24 15:05:23,680 basehttp "GET /static/images/Patient-Engagement-in-Healthcare.jpg HTTP/1.1" 304 0
INFO 2023-04-24 15:06:12,017 basehttp "POST /patient_login HTTP/1.1" 302 0
INFO 2023-04-24 15:06:12,540 basehttp "GET /patient/index HTTP/1.1" 200 16952
WARNING 2023-04-24 15:06:13,106 log Not Found: /patient/style.css
WARNING 2023-04-24 15:06:13,107 basehttp "GET /patient/style.css HTTP/1.1" 404 8637
INFO 2023-04-24 15:06:22,014 basehttp "GET /patient/doc_booking HTTP/1.1" 200 22491
WARNING 2023-04-24 15:06:22,089 log Not Found: /patient/style.css
WARNING 2023-04-24 15:06:22,090 basehttp "GET /patient/style.css HTTP/1.1" 404 8637
INFO 2023-04-24 15:06:24,069 basehttp "GET /patient/index HTTP/1.1" 200 16952
WARNING 2023-04-24 15:06:24,121 log Not Found: /patient/style.css
WARNING 2023-04-24 15:06:24,122 basehttp "GET /patient/style.css HTTP/1.1" 404 8637
INFO 2023-04-24 15:06:28,355 basehttp "GET /patient/your_bookings HTTP/1.1" 200 12753
WARNING 2023-04-24 15:06:28,642 log Not Found: /patient/style.css
WARNING 2023-04-24 15:06:28,643 basehttp "GET /patient/style.css HTTP/1.1" 404 8637
INFO 2023-04-24 15:06:31,286 basehttp "GET /patient/view_bookings HTTP/1.1" 200 12886
WARNING 2023-04-24 15:06:31,351 log Not Found: /patient/style.css
